Tx gene_symbol
Tx9 ARL5B
Tx9 ABHD13
Tx9 UBL3
Tx9 ALG10B
Tx9 PCDH10
Tx9 LMO3
Tx9 RAD21
Tx9 PAIP1
Tx9 TTC33
Tx9 TMEM106B
Tx9 PURA
Tx9 OGFRL1
Tx9 POU3F2
Tx9 PLCXD2
Tx9 SLC17A6
Tx9 SEMA7A
Tx9 GPR12
Tx9 KCNA1
Tx9 YOD1
Tx9 FEM1C
Tx9 SLC38A2
Tx9 POU3F3
Tx9 SLITRK3
Tx9 VSTM2A
Tx9 KLF13
Tx9 CNST
Tx9 TCAF1
Tx9 HS6ST1
Tx9 LZTS3
Tx9 BCL9L
Tx9 NFIC
Tx9 LRRC4B
Tx9 ZBTB7A
Tx9 PIAS4
Tx9 SYT7
Tx9 ELAVL3
Tx1 CTXN3
Tx1 CYP1B1
Tx1 DAW1
Tx1 TAF7L
Tx1 CAT
Tx1 CD53
Tx1 TNIP2
Tx1 ONECUT2
Tx1 E2F5
Tx1 DUSP16
Tx1 LIMD1
Tx1 NDRG1
Tx1 SLITRK2
Tx1 VLDLR
Tx1 SAMD13
Tx1 KITLG
Tx1 MYO1B
Tx1 CHRDL1
Tx1 LRRC2
Tx1 KIAA2012
Tx1 DISC1
Tx1 GPC4
Tx1 PIK3C2G
Tx1 ZFHX4
Tx1 BMPR1B
Tx1 ANKRD62
Tx1 VWDE
Tx1 CCDC144NL
Tx1 ZNF804A
Tx1 SDK1
Tx1 FAT4
Tx1 GREB1L
Tx1 FBLN7
Tx1 FAM160A1
Tx1 PALLD
Tx1 CRHR2
Tx1 COL5A1
Tx1 CEMIP
Tx1 HPCAL1
Tx1 SLC29A4
Tx1 EFCC1
Tx1 LTK
Tx1 XKR8
Tx1 RGMA
Tx1 ELN
Tx1 TAF5
Tx1 GNPTG
Tx1 RWDD4
Tx1 CCZ1
Tx1 H3F3A
Tx1 ZNF836
Tx1 ZNF268
Tx1 INPP1
Tx1 TAF11
Tx1 ZKSCAN1
Tx1 EIF2B1
Tx1 DENR
Tx1 RAD1
Tx1 MED21
Tx1 TAF1A
Tx1 SCCPDH
Tx1 EIF2A
Tx1 COA5
Tx1 PPP1R3F
Tx1 APIP
Tx1 TMEM263
Tx1 DLST
Tx1 CGREF1
Tx1 UBAC1
Tx1 IMMT
Tx1 SEC23B
Tx1 ZDHHC7
Tx1 AFG3L2
Tx1 EIF4E2
Tx1 ZNF140
Tx1 ZSCAN12
Tx1 ZNF74
Tx1 LNP1
Tx1 ZNF214
Tx1 QRSL1
Tx1 ETFRF1
Tx1 TMEM87B
Tx1 GID4
Tx1 TPGS2
Tx1 PPAT
Tx1 VAMP7
Tx1 MTX3
Tx1 THUMPD3
Tx1 SF3A3
Tx1 PRPF6
Tx1 CDC23
